month,price
1,51.51633986928105
2,58.766884531590414
3,64.90958605664488
4,83.1797385620915
5,96.53703703703704
6,98.44989106753813
7,103.64814814814815
8,111.92701525054466
9,110.2875816993464
10,116.39869281045752
11,136.87581699346404
12,162.19607843137254
