latitude,longitude,month,price,region
40.40436,-3.68037,9,69.2,Retiro
40.40436,-3.68037,10,69.5,Retiro
40.40436,-3.68037,12,69.38095238095238,Retiro
40.40569,-3.69156,1,74.0,Arganzuela
40.40599,-3.69807,3,76.0,Arganzuela
40.40646,-3.68289,2,32.0,Retiro
40.40646,-3.68289,3,31.0,Retiro
40.40646,-3.68289,4,29.75,Retiro
40.40646,-3.68289,5,30.5,Retiro
40.40646,-3.68289,6,31.0,Retiro
40.40646,-3.68289,7,29.0,Retiro
40.40646,-3.68289,8,29.666666666666668,Retiro
40.40646,-3.68289,9,29.0,Retiro
40.40646,-3.68289,10,29.0,Retiro
40.40661,-3.67403,1,27.0,Retiro
40.40667,-3.7053,1,41.0,Centro
40.40672,-3.69915,1,105.0,Centro
40.40672,-3.69915,3,105.0,Centro
40.40672,-3.69915,4,105.0,Centro
40.40672,-3.69915,7,105.0,Centro
40.40672,-3.69915,10,105.0,Centro
40.40672,-3.69915,12,105.0,Centro
40.40692,-3.70325,1,85.66666666666667,Centro
40.40692,-3.70325,2,76.25,Centro
40.40692,-3.70325,3,79.0,Centro
40.40692,-3.70325,7,74.0,Centro
40.40692,-3.70325,8,73.63636363636364,Centro
40.40692,-3.70325,12,89.5,Centro
40.40705,-3.6918,1,90.9,Arganzuela
40.40705,-3.6918,2,91.5,Arganzuela
40.40705,-3.6918,3,95.42857142857143,Arganzuela
40.40705,-3.6918,7,94.25,Arganzuela
40.40705,-3.6918,8,86.17647058823529,Arganzuela
40.40705,-3.6918,11,107.85714285714286,Arganzuela
40.40705,-3.6918,12,109.57894736842105,Arganzuela
40.40724,-3.70465,1,70.0,Centro
40.40724,-3.70465,2,82.25,Centro
40.40724,-3.70465,3,76.0,Centro
40.40724,-3.70465,7,73.41666666666667,Centro
40.40724,-3.70465,8,73.9,Centro
40.40724,-3.70465,12,84.07142857142857,Centro
40.40727012910141,-3.749476410448551,1,28.0,Latina
40.40728,-3.70529,1,79.0,Centro
40.40747,-3.70987,6,111.0,Centro
40.4077,-3.68473,9,29.2,Retiro
40.4077,-3.68473,10,29.0,Retiro
40.4077,-3.68473,11,29.0,Retiro
40.40781,-3.69331,1,77.0,Centro
40.40789,-3.68814,9,145.16666666666666,Retiro
40.40789,-3.68814,10,151.0,Retiro
40.40789,-3.68814,11,139.33333333333334,Retiro
40.40789,-3.68814,12,142.83783783783784,Retiro
40.407969286213664,-3.701828947425438,1,85.0,Centro
40.40801,-3.71781,1,88.33333333333333,Arganzuela
40.40833,-3.70322,1,71.0,Centro
40.40833,-3.70322,2,78.0,Centro
40.40833,-3.70322,3,79.81818181818181,Centro
40.40833,-3.70322,4,87.0,Centro
40.40833,-3.70322,7,75.0,Centro
40.40833,-3.70322,8,72.06666666666666,Centro
40.40833,-3.70322,11,86.0,Centro
40.40833,-3.70322,12,86.48148148148148,Centro
40.40835,-3.70515,2,42.0,Centro
40.40835,-3.70515,3,42.0,Centro
40.40835,-3.70515,4,42.0,Centro
40.40835,-3.70515,5,42.0,Centro
40.40835,-3.70515,6,42.0,Centro
40.40835,-3.70515,7,42.0,Centro
40.40840720471856,-3.6990436831854807,5,114.0,Centro
40.40840720471856,-3.6990436831854807,6,114.0,Centro
40.40840720471856,-3.6990436831854807,7,114.0,Centro
40.40840720471856,-3.6990436831854807,8,114.0,Centro
40.40840720471856,-3.6990436831854807,9,114.0,Centro
40.40840720471856,-3.6990436831854807,10,114.0,Centro
40.40840720471856,-3.6990436831854807,11,114.0,Centro
40.40868,-3.70452,1,50.0,Centro
40.40868,-3.70452,3,50.0,Centro
40.40868,-3.70452,6,50.0,Centro
40.4087816,-3.7298832,1,32.0,Latina
40.4087816,-3.7298832,2,32.0,Latina
40.40879,-3.70492,2,103.0,Centro
40.40879,-3.70492,4,116.0,Centro
40.40897,-3.69231,1,53.0,Centro
40.40918,-3.69324,12,123.4,Centro
40.40919876098633,-3.701968908309937,1,100.0,Centro
40.40929,-3.69812,1,66.0,Centro
40.40962,-3.70299,1,33.0,Centro
40.409663143189,-3.71087260791848,3,104.0,Centro
40.409663143189,-3.71087260791848,4,104.0,Centro
40.409663143189,-3.71087260791848,5,104.0,Centro
40.409663143189,-3.71087260791848,6,102.66666666666667,Centro
40.409663143189,-3.71087260791848,7,104.0,Centro
40.409663143189,-3.71087260791848,8,104.0,Centro
40.409663143189,-3.71087260791848,9,104.0,Centro
40.409663143189,-3.71087260791848,10,104.0,Centro
40.409663143189,-3.71087260791848,11,104.0,Centro
40.40976,-3.70141,5,67.0,Centro
40.40979,-3.70173,12,68.0,Centro
40.40993,-3.7026,1,115.0,Centro
40.40996,-3.70138,12,258.0,Centro
40.40998,-3.70537,1,22.0,Centro
40.40998,-3.70537,2,22.0,Centro
40.41001,-3.73972,3,39.0,Latina
40.41001,-3.73972,4,39.0,Latina
40.41007094561448,-3.704248666763306,9,112.0,Centro
40.41007094561448,-3.704248666763306,10,112.0,Centro
40.41008570200636,-3.7087575005483866,1,90.0,Centro
40.41023,-3.70555,5,111.0,Centro
40.410254382599085,-3.702327046015825,4,122.0,Centro
40.41030900415792,-3.694213591912321,9,168.0,Centro
40.41030900415792,-3.694213591912321,10,168.0,Centro
40.410427,-3.694636,8,74.0,Centro
40.41054653551894,-3.650951832532882,1,25.0,Moratalaz
40.41055,-3.72774,5,141.0,Latina
40.41055,-3.72774,7,141.0,Latina
40.41056,-3.69863,4,83.0,Centro
40.41062563035865,-3.698127032512654,1,75.0,Centro
40.41062563035865,-3.698127032512654,2,75.0,Centro
40.41062563035865,-3.698127032512654,3,75.0,Centro
40.41062563035865,-3.698127032512654,4,75.0,Centro
40.41062563035865,-3.698127032512654,5,75.0,Centro
40.41062563035865,-3.698127032512654,6,75.0,Centro
40.41062563035865,-3.698127032512654,7,75.0,Centro
40.41062563035865,-3.698127032512654,8,75.0,Centro
40.4106854,-3.7039903,1,33.0,Centro
40.4106854,-3.7039903,2,33.0,Centro
40.4106854,-3.7039903,3,33.0,Centro
40.4106854,-3.7039903,4,33.0,Centro
40.4106854,-3.7039903,5,33.0,Centro
40.4106854,-3.7039903,6,33.0,Centro
40.41087,-3.70613,1,92.0,Centro
40.41109,-3.70432,2,32.0,Centro
40.41109,-3.70432,3,29.0,Centro
40.4111184,-3.728854,1,68.0,Latina
40.4111184,-3.728854,4,76.0,Latina
40.411549,-3.697992,4,84.0,Centro
40.411549,-3.697992,5,84.0,Centro
40.41155,-3.70044,6,178.0,Centro
40.41161029366069,-3.6501931158940097,1,23.0,Moratalaz
40.41161029366069,-3.6501931158940097,2,23.0,Moratalaz
40.41161029366069,-3.6501931158940097,3,23.0,Moratalaz
40.41161029366069,-3.6501931158940097,4,23.0,Moratalaz
40.41161029366069,-3.6501931158940097,5,23.0,Moratalaz
40.41161029366069,-3.6501931158940097,6,23.0,Moratalaz
40.41161029366069,-3.6501931158940097,7,23.0,Moratalaz
40.41161029366069,-3.6501931158940097,8,23.0,Moratalaz
40.41203,-3.71074,12,180.0,Centro
40.4120903,-3.7122762,8,84.66666666666667,Centro
40.4121,-3.69517,1,89.0,Centro
40.41264,-3.69757,4,130.0,Centro
40.41264,-3.69757,5,130.0,Centro
40.41264,-3.69757,6,130.0,Centro
40.41264,-3.69757,7,130.0,Centro
40.41264,-3.69757,8,130.0,Centro
40.41271,-3.71311,1,53.0,Centro
40.41271,-3.71311,2,53.0,Centro
40.41271,-3.71311,3,53.0,Centro
40.41271,-3.71311,4,53.0,Centro
40.41271,-3.71311,5,53.0,Centro
40.41271,-3.71311,7,53.0,Centro
40.41277,-3.71366,12,277.09090909090907,Centro
40.41282,-3.6969,5,349.0,Centro
40.41282,-3.6969,6,389.0,Centro
40.41282,-3.6969,7,343.85714285714283,Centro
40.41282,-3.6969,8,282.5,Centro
40.41282,-3.6969,9,350.4,Centro
40.41282,-3.6969,10,392.5,Centro
40.41282,-3.6969,11,295.7142857142857,Centro
40.41282,-3.6969,12,289.74074074074076,Centro
40.41294,-3.72582,3,35.0,Latina
40.41294,-3.70759,8,118.0,Centro
40.41294,-3.70759,11,118.0,Centro
40.413,-3.71295,2,100.0,Centro
40.413,-3.71295,4,100.0,Centro
40.41301,-3.70721,1,27.0,Centro
40.41301,-3.70721,2,27.0,Centro
40.41301,-3.70721,3,27.0,Centro
40.41301,-3.70721,4,27.0,Centro
40.41301,-3.70721,5,27.0,Centro
40.41301,-3.70721,6,27.0,Centro
40.41301,-3.70721,7,27.0,Centro
40.41301,-3.70721,8,27.0,Centro
40.41301,-3.70721,9,27.0,Centro
40.41301,-3.70721,10,27.0,Centro
40.41301,-3.70721,11,27.0,Centro
40.41301,-3.70721,12,27.0,Centro
