month,year,latitude,longitude,price,room_type
2,2024,40.42143666,-3.70809093,139.0,Single Room
2,2024,40.39889583,-3.6700666,115.0,Standard Double or Twin Room
2,2024,40.42513862,-3.68209362,160.0,Double or Twin Room
2,2024,40.47286912,-3.58212233,65.0,Single Room
2,2024,40.41329183,-3.7008208,23.0,Bed in 12-Bed Mixed Dormitory Room
2,2024,40.41962508,-3.70772243,132.0,Single Room
2,2024,40.44562232,-3.5431619,100.0,Junior Suite
2,2024,40.41478058,-3.69476303,198.0,Superior Interior Room with Extra Bed (2 Adults + 1 Child)
2,2024,40.42073614,-3.7055628,93.0,Double Room
2,2024,40.41973569,-3.70896935,96.0,Executive Double or Twin Room
2,2024,40.43083001,-3.70771676,101.0,Single  Interior Room
2,2024,40.4186758,-3.705107,138.0,Studio
2,2024,40.422325,-3.703039,50.0,Single Room with Bathroom
2,2024,40.4173516,-3.70861664,75.0,Single Room
2,2024,40.42286091,-3.70968685,106.0,Standard Room
2,2024,40.41530745,-3.69904719,84.0,Single Room
2,2024,40.42053513,-3.70387316,234.0,The INNSIDE Room
2,2024,40.41112159,-3.70678928,41.0,Bed in 6-Bed Mixed Dormitory Room
2,2024,40.43859914,-3.69287744,104.0,Single Room
2,2024,40.4130645,-3.66922554,95.0,Standard Queen Room - Accessible
2,2024,40.4151788,-3.70925367,48.0,Single Room with Shared Bathroom
2,2024,40.4258467,-3.7072969,84.0,Single Room with Shared Bathroom
2,2024,40.42557659,-3.71371821,129.0,Standard King Room
2,2024,40.40146032,-3.68706107,145.0,Double or Twin Room
2,2024,40.41348294,-3.66766935,95.0,Standard Queen Room
2,2024,40.40714642,-3.69308468,36.0,Bed in 6-Bed Female Dormitory Room
2,2024,40.39187083,-3.69594321,65.0,Single Room
2,2024,40.4483838,-3.7029066,40.0,Single Room
2,2024,40.40909293,-3.69301558,106.0,Economy Small Single Room
2,2024,40.40616008,-3.72182518,119.0,Standard Double or Twin Room
2,2024,40.40987718,-3.69371295,213.0,Standard Room
2,2024,40.4240708,-3.7007468,82.0,Single Room
2,2024,40.419804,-3.70827,47.0,Bed in 8-Bed Female Dormitory Room (female only)
2,2024,40.42038,-3.697279,95.0,Budget Single Room
