region,month,price
Hortaleza,6,89.21
Hortaleza,7,94.44
Hortaleza,8,72.12
Hortaleza,9,88.18
Hortaleza,10,99.03
Hortaleza,11,97.78
Hortaleza,12,83.64
Latina,1,53.62
Latina,2,48.0
Latina,3,46.0
Latina,4,59.67
Latina,5,102.5
Latina,6,59.5
Latina,7,102.5
Latina,8,64.0
Latina,9,64.0
Latina,10,57.0
Latina,11,56.64
Latina,12,120.38
Moncloa-Aravaca,1,98.02
Moncloa-Aravaca,2,99.68
Moncloa-Aravaca,3,120.07
Moncloa-Aravaca,4,132.86
Moncloa-Aravaca,5,136.93
Moncloa-Aravaca,6,129.72
Moncloa-Aravaca,7,113.0
Moncloa-Aravaca,8,110.31
Moncloa-Aravaca,9,117.33
Moncloa-Aravaca,10,182.02
Moncloa-Aravaca,11,141.7
Moncloa-Aravaca,12,207.18
Moratalaz,1,24.0
Moratalaz,2,23.0
Moratalaz,3,23.0
Moratalaz,4,23.0
Moratalaz,5,23.0
Moratalaz,6,23.0
Moratalaz,7,23.0
Moratalaz,8,23.0
Puente de Vallecas,1,150.19
Puente de Vallecas,2,203.01
Puente de Vallecas,3,70.43
Puente de Vallecas,4,70.96
Puente de Vallecas,5,55.62
Puente de Vallecas,6,82.35
Puente de Vallecas,7,85.6
Puente de Vallecas,8,65.13
Puente de Vallecas,9,75.5
Puente de Vallecas,10,54.99
Puente de Vallecas,11,79.25
Puente de Vallecas,12,81.86
Retiro,1,89.45
Retiro,2,94.3
Retiro,3,103.86
Retiro,4,124.16
Retiro,5,111.47
Retiro,6,116.32
Retiro,7,111.0
Retiro,8,102.06
Retiro,9,92.95
Retiro,10,133.53
Retiro,11,138.72
Retiro,12,100.98
Salamanca,1,143.18
Salamanca,2,143.34
Salamanca,3,150.08
Salamanca,4,170.56
Salamanca,5,201.92
Salamanca,6,192.28
Salamanca,7,131.56
Salamanca,8,164.55
Salamanca,9,195.53
Salamanca,10,199.17
Salamanca,11,225.2
Salamanca,12,208.46
San Blas - Canillejas,1,80.87
San Blas - Canillejas,2,92.25
San Blas - Canillejas,3,106.62
San Blas - Canillejas,4,106.0
San Blas - Canillejas,5,122.42
San Blas - Canillejas,6,105.14
San Blas - Canillejas,7,92.13
San Blas - Canillejas,8,89.1
San Blas - Canillejas,9,108.09
San Blas - Canillejas,10,133.31
San Blas - Canillejas,11,121.28
San Blas - Canillejas,12,100.4
San Cristóbal,1,20.0
San Cristóbal,2,21.0
San Cristóbal,3,21.0
Tetuán,1,73.86
Tetuán,2,91.05
Tetuán,3,111.56
Tetuán,4,108.21
Tetuán,5,105.13
Tetuán,6,121.12
Tetuán,7,117.82
Tetuán,8,116.63
Tetuán,9,97.2
Tetuán,10,125.36
Tetuán,11,98.63
Tetuán,12,100.65
Usera,1,23.5
Usera,2,22.0
Usera,3,31.64
Usera,4,30.0
Usera,5,30.0
Usera,6,14.0
Usera,7,48.5
Usera,8,30.0
Usera,9,30.0
Usera,10,30.0
Usera,11,44.67
Usera,12,51.1
Valdelasfuentes,12,42.0
Vicálvaro,4,80.0
Vicálvaro,5,80.0
Vicálvaro,6,80.0
Vicálvaro,7,80.0
Vicálvaro,10,80.0
Vicálvaro,11,81.0
Vicálvaro,12,80.0
Villa de Vallecas,1,76.0
Villa de Vallecas,11,77.0
"Villaverde Alto, Casco Histórico de Villaverde",3,68.0
"Villaverde Alto, Casco Histórico de Villaverde",10,73.33
"Villaverde Alto, Casco Histórico de Villaverde",11,71.27
"Villaverde Alto, Casco Histórico de Villaverde",12,80.12
