check_in,check_out,latitude,longitude,price,room_type
2024-01-01,2024-01-02,40.40661,-3.67403,27,private_room
2024-01-01,2024-01-02,40.43673,-3.7046,164,entire_home
2024-01-01,2024-01-02,40.431689868722394,-3.6567614872262393,27,private_room
2024-01-01,2024-01-02,40.4348,-3.68346,47,private_room
2024-01-01,2024-01-02,40.4746105,-3.5808617,59,private_room
2024-01-01,2024-01-02,40.40962,-3.70299,33,private_room
2024-01-01,2024-01-02,40.44149,-3.57524,35,private_room
2024-01-01,2024-01-02,40.45269,-3.59246,30,private_room
2024-01-01,2024-01-02,40.407969286213664,-3.701828947425438,85,entire_home
2024-01-01,2024-01-02,40.4689,-3.59299,34,private_room
2024-01-01,2024-01-02,40.42648,-3.70434,56,private_room
2024-01-01,2024-01-02,40.463137344215234,-3.704131565464594,35,private_room
2024-01-01,2024-01-02,40.40727012910141,-3.7494764104485507,28,private_room
2024-01-01,2024-01-02,40.4712,-3.69119,39,private_room
2024-01-01,2024-01-02,40.3919779,-3.6669782,30,private_room
2024-01-01,2024-01-02,40.46549,-3.70097,109,entire_home
2024-01-01,2024-01-02,40.43679,-3.61506,33,private_room
2024-01-02,2024-01-03,40.44194,-3.71404,39,private_room
2024-01-02,2024-01-03,40.40661,-3.67403,27,private_room
2024-01-02,2024-01-03,40.42976925012499,-3.7014294657828866,36,private_room
2024-01-02,2024-01-03,40.4739,-3.58177,41,private_room
2024-01-02,2024-01-03,40.43651784004312,-3.642160599796872,70,entire_home
2024-01-02,2024-01-03,40.441291988165304,-3.531792350113392,22,private_room
2024-01-02,2024-01-03,40.42381,-3.6179,26,private_room
2024-01-02,2024-01-03,40.41054653551894,-3.6509518325328822,25,private_room
2024-01-02,2024-01-03,40.3903989,-3.653871499999999,23,private_room
2024-01-02,2024-01-03,40.42376749729475,-3.709520548582077,42,private_room
2024-01-02,2024-01-03,40.4087816,-3.7298832,32,private_room
2024-01-02,2024-01-03,40.44149,-3.57524,35,private_room
2024-01-02,2024-01-03,40.44278,-3.69725,74,hotel_room
2024-01-02,2024-01-03,40.4335779,-3.6587238,30,private_room
2024-01-02,2024-01-03,40.45269,-3.59246,30,private_room
2024-01-02,2024-01-03,40.40962,-3.70299,33,private_room
2024-01-02,2024-01-03,40.41715,-3.67408,41,private_room
2024-01-03,2024-01-04,40.44340079969042,-3.533234040886555,22,private_room
2024-01-03,2024-01-04,40.4746105,-3.5808617,41,private_room
2024-01-03,2024-01-04,40.44194,-3.71404,39,private_room
2024-01-03,2024-01-04,40.40661,-3.67403,27,private_room
2024-01-03,2024-01-04,40.42976925012499,-3.7014294657828866,36,private_room
2024-01-03,2024-01-04,40.4739,-3.58177,41,private_room
2024-01-03,2024-01-04,40.4348,-3.68346,47,private_room
2024-01-03,2024-01-04,40.3903989,-3.653871499999999,23,private_room
2024-01-03,2024-01-04,40.401167628342264,-3.7020818302306147,59,entire_home
2024-01-03,2024-01-04,40.41054653551894,-3.6509518325328822,25,private_room
2024-01-03,2024-01-04,40.42381,-3.6179,26,private_room
2024-01-03,2024-01-04,40.42376749729475,-3.709520548582077,42,private_room
2024-01-03,2024-01-04,40.46943,-3.69218,37,private_room
2024-01-03,2024-01-04,40.4087816,-3.7298832,32,private_room
2024-01-03,2024-01-04,40.41087,-3.70613,92,entire_home
2024-01-03,2024-01-04,40.44615417951903,-3.6759031667695115,41,private_room
2024-01-03,2024-01-04,40.38901,-3.64185,29,private_room
2024-01-04,2024-01-05,40.4746105,-3.5808617,41,private_room
2024-01-04,2024-01-05,40.44340079969042,-3.533234040886555,22,private_room
2024-01-04,2024-01-05,40.44194,-3.71404,39,private_room
2024-01-04,2024-01-05,40.4158,-3.70412,76,entire_home
2024-01-04,2024-01-05,40.4106854,-3.7039903,33,private_room
2024-01-04,2024-01-05,40.40661,-3.67403,27,private_room
2024-01-04,2024-01-05,40.422725549580385,-3.6989082720953235,39,private_room
2024-01-04,2024-01-05,40.43673,-3.7046,164,entire_home
2024-01-04,2024-01-05,40.431689868722394,-3.6567614872262393,26,private_room
2024-01-04,2024-01-05,40.4739,-3.58177,41,private_room
2024-01-04,2024-01-05,40.42389318540086,-3.7016450348516297,70,entire_home
2024-01-04,2024-01-05,40.4348,-3.68346,47,private_room
2024-01-04,2024-01-05,40.42376749729475,-3.709520548582077,42,private_room
2024-01-04,2024-01-05,40.41054653551894,-3.6509518325328822,25,private_room
2024-01-04,2024-01-05,40.46247863769531,-3.6474130153656006,40,private_room
2024-01-04,2024-01-05,40.4121,-3.69517,89,entire_home
2024-01-04,2024-01-05,40.3903989,-3.653871499999999,23,private_room
2024-01-05,2024-01-06,40.40284604570229,-3.688246742097405,37,private_room
2024-01-05,2024-01-06,40.42186031552421,-3.6993830668183625,42,private_room
2024-01-05,2024-01-06,40.44340079969042,-3.533234040886555,22,private_room
2024-01-05,2024-01-06,40.42376749729475,-3.709520548582077,42,private_room
2024-01-05,2024-01-06,40.40919876098633,-3.7019689083099365,100,entire_home
2024-01-05,2024-01-06,40.40868,-3.70452,50,private_room
2024-01-05,2024-01-06,40.393924377719955,-3.707317784428596,41,private_room
2024-01-05,2024-01-06,40.426048775737655,-3.6627604871880606,37,private_room
2024-01-05,2024-01-06,40.4348,-3.68346,47,private_room
2024-01-05,2024-01-06,40.431689868722394,-3.6567614872262393,26,private_room
2024-01-05,2024-01-06,40.41715,-3.67408,41,private_room
2024-01-05,2024-01-06,40.40692,-3.70325,101,entire_home
2024-01-05,2024-01-06,40.41271,-3.71311,53,private_room
2024-01-05,2024-01-06,40.44615417951903,-3.6759031667695115,41,private_room
