region,month,price
Moncloa-Aravaca,9,117.33333333333333
Moncloa-Aravaca,10,94.0
Moncloa-Aravaca,11,155.25
Moncloa-Aravaca,12,211.16233766233765
Moratalaz,1,24.0
Moratalaz,2,23.0
Moratalaz,3,23.0
Moratalaz,4,23.0
Moratalaz,5,23.0
Moratalaz,6,23.0
Moratalaz,7,23.0
Moratalaz,8,23.0
Puente de Vallecas,1,150.1875
Puente de Vallecas,2,203.0111111111111
Puente de Vallecas,3,70.43333333333332
Puente de Vallecas,4,70.95649867374006
Puente de Vallecas,5,55.61607142857143
Puente de Vallecas,6,82.34722222222223
Puente de Vallecas,7,85.60267857142857
Puente de Vallecas,8,65.12931034482759
Puente de Vallecas,9,75.5
Puente de Vallecas,10,98.0
Puente de Vallecas,11,98.0
Puente de Vallecas,12,77.25126050420168
Retiro,1,89.45054945054946
Retiro,2,94.30195145474937
Retiro,3,103.85912160557233
Retiro,4,124.16485302197802
Retiro,5,111.46753837072019
Retiro,6,116.32095238095238
Retiro,7,111.00451475912001
Retiro,8,102.06008939974457
Retiro,9,92.94583333333333
Retiro,10,67.9
Retiro,11,84.16666666666667
Retiro,12,100.99699135225451
Salamanca,1,143.1809027777778
Salamanca,2,143.34223139094993
Salamanca,3,150.08172279622403
Salamanca,4,170.5571520584575
Salamanca,5,201.92208444063047
Salamanca,6,192.27955555555556
Salamanca,7,131.5564648442284
Salamanca,8,164.55004786041002
Salamanca,9,195.52557544757033
Salamanca,10,152.58139534883722
Salamanca,11,556.3947368421052
Salamanca,12,199.91740856695387
San Blas - Canillejas,1,80.86622023809524
San Blas - Canillejas,2,92.25329365079365
San Blas - Canillejas,3,106.61549950701863
San Blas - Canillejas,4,106.00028241350704
San Blas - Canillejas,5,122.41704022529122
San Blas - Canillejas,6,105.14407407407407
San Blas - Canillejas,7,92.1296980902215
San Blas - Canillejas,8,89.09734478175113
San Blas - Canillejas,9,108.0909090909091
San Blas - Canillejas,10,76.0
San Blas - Canillejas,11,76.0
San Blas - Canillejas,12,103.55722681359045
San Cristóbal,1,20.0
San Cristóbal,2,21.0
San Cristóbal,3,21.0
Tetuán,1,73.85729166666667
Tetuán,2,91.05285714285715
Tetuán,3,111.5553528708134
Tetuán,4,108.21267399267398
Tetuán,5,105.1339596949891
Tetuán,6,121.11666666666667
Tetuán,7,117.8237296037296
Tetuán,8,116.62733918128656
Tetuán,9,97.2
Tetuán,12,95.95054945054945
Usera,1,23.5
Usera,2,22.0
Usera,3,31.636363636363637
Usera,4,30.0
Usera,5,30.0
Usera,6,14.0
Usera,7,48.5
Usera,8,30.0
Usera,9,30.0
Usera,10,30.0
Usera,11,30.0
Usera,12,52.375
Vicálvaro,4,80.0
Vicálvaro,5,80.0
Vicálvaro,6,80.0
Vicálvaro,7,80.0
Vicálvaro,12,80.0
Villa de Vallecas,1,76.0
"Villaverde Alto, Casco Histórico de Villaverde",3,68.0
"Villaverde Alto, Casco Histórico de Villaverde",12,84.25
