,check-in date,check-out date,year,month,name,price,lat,lng,room type,url
0,2024-12-01,2024-12-02,2024,12,Hostal Alfaro,€ 255,40.41530745,-3.69904719,Double Room,https://www.booking.com/hotel/es/hostal-alfaro.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLXvKsGwAIB0gIkMGZkMTVmNzItNzBjYi00NTIwLTkyMmQtZDJjZjIyZDZlNDEx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2bd861f125690281&srepoch=1701784548&all_sr_blocks=76843206_295357870_2_0_0&highlighted_blocks=76843206_295357870_2_0_0&matching_block_id=76843206_295357870_2_0_0&sr_pri_blocks=76843206_295357870_2_0_0__25480&from=searchresults#hotelTmpl
1,2024-12-01,2024-12-02,2024,12,Hotel Fenix Gran Meliá - The Leading Hotels of the World,€ 380,40.42651379,-3.68932888,Classic Double Room,https://www.booking.com/hotel/es/hotel-fenix-gran-melia.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLXvKsGwAIB0gIkMGZkMTVmNzItNzBjYi00NTIwLTkyMmQtZDJjZjIyZDZlNDEx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2bd861f125690281&srepoch=1701784548&all_sr_blocks=9158401_246105086_2_34_0&highlighted_blocks=9158401_246105086_2_34_0&matching_block_id=9158401_246105086_2_34_0&sr_pri_blocks=9158401_246105086_2_34_0__38000&nad_id=02ade6ae-059a-4967-aba1-8319c8a07d55_0&nad_cpc=2.65&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05VWkRlM2NzVWRZNTdhRlhraTMvdHRIUlh6QXlYaElNYlgvR2V5Nnp2YjJoQjZWakt4NDgvNFlnbWFheEtVR2lPRnkwdCtEVFA2aGZvbXViNWpSTVNpL0hQVGhGZ1VleDZxQnkwQXoyb3oza2w0cE1aS3E2RncvQjRzcXRaSDVlNUpNVFVRTnRWZkJXU0lpckdWZTZCeG1PTVlkWUUxcHlxeFQyOTFUc081OEpOMjhBLzZUSWV2ZGl3Ykd3R3NqTWEvY3VsUFh6M2ZnMWlJOFcrOFZKNkxFeE0xUDZkNmFxejFzbHVRQzhtc09DS0lidU1Ma0pla0lvMUo0U1dWakRLMGRzTlZSck5hSXVveDBWQkZ2bi9Kblozd3dCcGthYVlkY3EyTmNEbExXRXFxZDdheS96MzRwV2dFRGkweUhZcUFkODY1c0Vpb1FGUmdiZmEzM3B1TGJ3QnZTbXZiSjNKZVhJaE9KdW4xcG83ZThTQTNOenNNbXBOV0RSTUZ1OE50QmJKaGtKaHEzSEpYejRCaUtMZFhsb3o2alFWcGF1bEsvSnR2cWN0R0J4WTh0bUtZcDBxb0d1QnFPaWRLMGt6RmNEWFEzRnJNOTQvN1dCTWpHLzNrbU9vNzI5bGhYd1VnTFVkYTV6bmJhWkV5NUFDb2pQQUlzdzlMVkUxT2JMKzZaS1plRkJiY3Nyem5JWC9wU0NYUHRaczA1OWx1NDNIcHFIQjZwY1J0VWg0Y3pFV20xN3g2WVVYVThLZFdaSEJxRm9tU1RPaVdEWkFTYmlnVFRnVUdiQ0Rvc0RPOGU4T1FmYks5VXMvbzE1a1k1RWRORWZrREZoU0ZkMlBveFB3RHBpSGxhZGVSMkdNMThnUnlVa05NWVZiMkxIT1M3SHhZMU1zQjUzQncxT05NUnI2RU85YXFNREpsZUFLMk1rMzRuaVZUbktRRGhYQy9mQlBoRXo0ZGl2ZWxROFAyc3AyL2dOT1JBZXlkY1ZZeW1oZGNVdHh3Mi8wTXlRTUVFcE5ZaW5rSzFyejdScFVreXZwMWtoRFVBVkJjSWhtTFpDRHJhRDBvUEIrZFh1enZsUWlDc0g5VEFHbmR2bDEyekZQM3RNUExpcFpmUG52cUNhVkg3dGdzUmZRWTJ2cG44cUR5OUp0dWJDQ0JYQ1JjM1l4VWJ2SlByQjdqcEs1SnpXUzFKY21UcC8rV0l5OGxqbHhwTmhEVFJTNkhGQ1lKT3kyRXlkbGRWZ1lMQlNRc054d2NhWHJCNjZEbndaWU9LVVZnVXprNnRoWWMzVU9HOFhoSFk4SWVER0NaVm1QVllWeWlEZ2RYR01qZTc0SXBHZmJmNkRLbmQzdDM3Y3Y4QXo4eVB4emNYU0RVZ0dzbHIzVzJLLzlXVHJzbjgyU2NZZW5XNUdpbVhpSWNnMncra2hnUTBxMHpxTjNlNGhtSlRYTEhROFJ6a3VQT2Z4VysvTytCMmh2Zk4yWkxVM0JkTjJUVFVBQm9DVHUwM3R2Y0dhZzdocXZmQndtZjNPSThGSS8rNWtLTU1oMm94ZE85bGhWMnNPOGFUTkgxb1ljTUdyd3lMVHJSSDBReWZJK09SQ1FySVJLc2tIUS9xWkxWZ0tJRTh3ODhlY2g4L0N5LzVZYlJaaXlTNjRodzBWSzB1N24vMnFCQTJCMFVoRGRvSEg1ZzhMeEJRVVVKeVlqYlFnYnJRanlCc1ErRkhxYUpCeCs0YnN4QUE5SExYQi80MmFiVFlES1Y4bmZxUmhpeU5Ma0RsMzRpOGV0ZThPTzhoZEhMdUVpSGtOMnJDRWVxVGpYaVVQUGlYdXIzRk1wSTM4R0FBZEgyc01KZklVcVpmYkUycElHUHBVc3VSQkF2bkc4djVnbzRZWTVaZHVxUVJjK2Y4eS8vc1Q2Nk00RzQzM3hEdXdRajhOd3hLOTVCMXp6YW4wNGN0TEdYaFpmcmxMbUI2QUVSVzlGUXV4OEtCZGZ6dHBaWGtPL25QTXY4K2h0YWFxeHBEU0w3UzNqek11ZmlQUkoxQTFCQWZWN1ZaY1N5REJ5R2JzQlBtQW5PdUw1M0s2L3ovOU1XQkxLWnplSEhjVlJJcDZOalh3RkVqeWFiYzJrMithcTNUNVZvd3hCbFVnZEVvOHEwWXZiZUgvcDhFMnV0UVMzOGFEcEJkNnJIVko3Z0NhR3Y0VitFL28xajFIc05ycTRYTEk0L2FRR0krY3I4Q2FkQnkyRHAvYVVVaC9NVXh4UUZjSUNrWFRTM1RIRk5DS05qeGQ0K0JNMnd6VnJvQnhVNTdFVHRySlY1NU5VN2xST1JORmIvYUN5b21Ja3I5dXFyVmE5bkpXRERCTU45VXNBclFYUHdaeHBSZExkbFM3VkJyWDEyL0tuWEhDdUROVEpXN0NRcW9DVDBlRVA5R2JNMVQxdTQvcUNXbytrb0U5YjlpR21DbStpSUFzVWx4Q0RZaGswZ2NjYlZQZnUzczQ2czNheHlpMUZLTW5rb25adHlDYVQrdkh3bnA1Mm42bk93MDdjbTdHOHliNjRNSWllOTRQWUlXeGFDa1ZQQ0NBS3o1b255QmpYeWhBdnNhYlR5TzRSV3hzcE9RSFJ0ZGZpQU91NUJiZlh0ek1IdE5USitDeTFKMWZibkJIcXlCMi9LcXFtM1BENis0S3ppcVJ3eHpvbURQTWErcVJ2aHliZFpLZitZZEg5Y0lBay9PU0RhRWNORnVNRzVDWHoyYlBtZ0VRMlhhcGRrUWVUWDRrMzVuTjE2KytHZHE3Zk9pUUw2TytwbXJYdHFOSkxUVFMwckRheEgyLzRHck1QWnZsQWc0K3lia2l3L09rMmMyV3pxaGE0cUt0Y3ZTNjNWU0dlS3FoSWgwUUJtK1BRTVh6RGVNN094UUVZanFNYlJxTTM1dW9tZ05JUndkRDAyTFpFZkwrcm1pOVZSb0YySjZ3aC9SQXdodFQzUVYrUXArYWxocEJZcnA3N0I0Q09vNjBrY1JGa3dNSjlMSkRwUzN2eGtCRzVKU3JYbkpxTGVDL1ZvUmdJT1F6OTRCaGhpL0NGYjhCeXF5bEc3eGJ5Tjg0SG05YVFXNlNaejV6UzQ1TDg1Z0V1UE9BeHpOOTVGRnBSR2dqOExiRlFEa25GMFQzRVQwd1gyUkhLNU0vNnFkMkVxL3BFby9ORk9NSGVqbGc1ajlMcEczdXAwNUN2dWhPSVJwbnMyNEhmdGJuN3BVWERxWGRHb3lQZkRVclZyNVBCVWwyZHd3VGNxeFFPNGdtRGx6NnZlQTk3VjlyelRZNk92NGN0YUE5WXNQOG5TaENsZTIreHBJSnJURU8rOE4ySzFia1pjcTdxd0RzQXhob2Yxa1M4YnIvTUhSdWRueE5VQ0NhNHNlOVVpMkdNMFlDNXBYVklCVklyMG5PYUNoL2xBRnRXV2c4bmFXN0ZiSGkrQm1RVEVCWkNsNWxuZzFpWXMvYW9MMTF5c2c5WGJ3ZDF0dGtBM1YxVUh2a3dVaHc3Zm9hUE9CaWkvbFdUdnNQRW5hNWtHRDR4TmhQbEM3UDFQUTNTR01rdUh3bWNKWkdvZzRJKzdvOWxvdlRYRnRXazBqb2tkS2h5TnkveUdGK3JObUEwQ1YyeXcrZlZKRXFEeTZsc0dBVFF0LzlPMjBHck9oZVR4MXNtRjh5YWtmV3J1WWU4VVBRREQ1UG9QbHFjdHA1NUViYURzWFhlOFNYZGFpdHVVejNNbGJuRlQ0OFMyWlVSdW1iK1d0amVta2ZVIn0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2,2024-12-01,2024-12-02,2024,12,Ok Hostel Madrid,€ 29,40.41112159,-3.70678928,Bed in 6-Bed Mixed Dormitory Room,https://www.booking.com/hotel/es/ok-hostel-madrid.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLXvKsGwAIB0gIkMGZkMTVmNzItNzBjYi00NTIwLTkyMmQtZDJjZjIyZDZlNDEx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2bd861f125690281&srepoch=1701784548&all_sr_blocks=157819905_88582901_0_34_0&highlighted_blocks=157819905_88582901_0_34_0&matching_block_id=157819905_88582901_0_34_0&sr_pri_blocks=157819905_88582901_0_34_0__2910&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
3,2024-12-01,2024-12-02,2024,12,GRAN VIA capitals by MONARO*****,"€ 15,045",40.42189295,-3.70877527,Superior Apartment,https://www.booking.com/hotel/es/gran-via-capitals-by-monaro.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLXvKsGwAIB0gIkMGZkMTVmNzItNzBjYi00NTIwLTkyMmQtZDJjZjIyZDZlNDEx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2bd861f125690281&srepoch=1701784548&all_sr_blocks=1079706902_380564750_1_0_0&highlighted_blocks=1079706902_380564750_1_0_0&matching_block_id=1079706902_380564750_1_0_0&sr_pri_blocks=1079706902_380564750_1_0_0__1504500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4,2024-12-01,2024-12-02,2024,12,Riu Plaza España,€ 238,40.42369331,-3.71080033,Deluxe Twin,https://www.booking.com/hotel/es/riu-plaza-espana.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLXvKsGwAIB0gIkMGZkMTVmNzItNzBjYi00NTIwLTkyMmQtZDJjZjIyZDZlNDEx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2bd861f125690281&srepoch=1701784548&all_sr_blocks=420450702_192200817_2_1_0&highlighted_blocks=420450702_192200817_2_1_0&matching_block_id=420450702_192200817_2_1_0&sr_pri_blocks=420450702_192200817_2_1_0__23752&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
5,2024-12-01,2024-12-02,2024,12,Catalonia Atocha,€ 115,40.41184389,-3.69792804,Single Room,https://www.booking.com/hotel/es/catalonia-atocha.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLXvKsGwAIB0gIkMGZkMTVmNzItNzBjYi00NTIwLTkyMmQtZDJjZjIyZDZlNDEx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2bd861f125690281&srepoch=1701784548&all_sr_blocks=26609345_194582517_1_2_0&highlighted_blocks=26609345_194582517_1_2_0&matching_block_id=26609345_194582517_1_2_0&sr_pri_blocks=26609345_194582517_1_2_0__11500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
6,2024-12-01,2024-12-02,2024,12,Ibis Madrid Centro las Ventas,€ 113,40.43051355,-3.66425693,Double Room,https://www.booking.com/hotel/es/ibis-madrid-centro-las-ventas.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLXvKsGwAIB0gIkMGZkMTVmNzItNzBjYi00NTIwLTkyMmQtZDJjZjIyZDZlNDEx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2bd861f125690281&srepoch=1701784548&all_sr_blocks=44806301_93756763_2_2_0&highlighted_blocks=44806301_93756763_2_2_0&matching_block_id=44806301_93756763_2_2_0&sr_pri_blocks=44806301_93756763_2_2_0__11250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
7,2024-12-01,2024-12-02,2024,12,Hostal Aresol,€ 56,40.41702283,-3.70531350,Single Room,https://www.booking.com/hotel/es/hostal-aresol.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLXvKsGwAIB0gIkMGZkMTVmNzItNzBjYi00NTIwLTkyMmQtZDJjZjIyZDZlNDEx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2bd861f125690281&srepoch=1701784548&all_sr_blocks=1436001_276039774_1_0_0&highlighted_blocks=1436001_276039774_1_0_0&matching_block_id=1436001_276039774_1_0_0&sr_pri_blocks=1436001_276039774_1_0_0__5645&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
8,2024-12-01,2024-12-02,2024,12,SLEEP'N Atocha - B Corp Certified,€ 79,40.40909293,-3.69301558,Economy Small Single Room,https://www.booking.com/hotel/es/sleep-n-atocha.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLXvKsGwAIB0gIkMGZkMTVmNzItNzBjYi00NTIwLTkyMmQtZDJjZjIyZDZlNDEx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2bd861f125690281&srepoch=1701784548&all_sr_blocks=47203706_91930352_0_2_0&highlighted_blocks=47203706_91930352_0_2_0&matching_block_id=47203706_91930352_0_2_0&sr_pri_blocks=47203706_91930352_0_2_0__7920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
9,2024-12-01,2024-12-02,2024,12,Hotel Cortezo,€ 80,40.41369516,-3.70362908,Double or Twin Room,https://www.booking.com/hotel/es/cortezo.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLXvKsGwAIB0gIkMGZkMTVmNzItNzBjYi00NTIwLTkyMmQtZDJjZjIyZDZlNDEx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2bd861f125690281&srepoch=1701784548&all_sr_blocks=9443201_338171752_0_2_0&highlighted_blocks=9443201_338171752_0_2_0&matching_block_id=9443201_338171752_0_2_0&sr_pri_blocks=9443201_338171752_0_2_0__8000&from=searchresults#hotelTmpl
